timestamp,rudder_angle_setpoint_rad,rate_of_turn
1789134882129994,-0.05241849273443222,-0.05241849273443222
1789134882141994,-0.03655257448554039,-0.03655257448554039
1789134882153994,-0.03657054901123047,-0.03657054901123047
1789134882165994,-0.0757761001586914,-0.0757761001586914
1789134882173994,-0.03814099729061127,-0.03814099729061127
1789134882183994,-0.06446882337331772,-0.06446882337331772
1789134882193994,-0.0465240441262722,-0.0465240441262722
1789134882203994,-0.011717184446752071,-0.011717184446752071
1789134882213994,-0.0645594373345375,-0.0645594373345375
1789134882225994,-0.2109593003988266,-0.2109593003988266
1789134882235994,-0.06013653799891472,-0.06013653799891472
1789134882243994,-0.051419079303741455,-0.051419079303741455
1789134882253994,-0.042963817715644836,-0.042963817715644836
1789134882259994,-0.06721585243940353,-0.06721585243940353
1789134882273994,-0.051309578120708466,-0.051309578120708466
1789134882285994,-0.10553979128599167,-0.10553979128599167
1789134882295994,-0.04809480160474777,-0.04809480160474777
1789134882303994,-0.03182967007160187,-0.03182967007160187
1789134882313994,-0.019831813871860504,-0.019831813871860504
1789134882323994,0.020742079243063927,0.020742079243063927
1789134882333994,-0.031870756298303604,-0.031870756298303604
1789134882345994,-0.12082652747631073,-0.12082652747631073
1789134882353994,-0.06861377507448196,-0.06861377507448196
1789134882359994,-0.14341609179973602,-0.14341609179973602
1789134882373994,-0.13167978823184967,-0.13167978823184967
1789134882383994,-0.07606007158756256,-0.07606007158756256
1789134882393994,-0.21048034727573395,-0.21048034727573395
1789134882405994,-0.1784154325723648,-0.1784154325723648
1789134882413994,-0.1385338455438614,-0.1385338455438614
1789134882423994,-0.06823324412107468,-0.06823324412107468
1789134882433994,-0.05216291919350624,-0.05216291919350624
1789134882443994,-0.017975494265556335,-0.017975494265556335
1789134882453994,-0.06833907216787338,-0.06833907216787338
1789134882465994,-0.23219329118728638,-0.23219329118728638
1789134882473994,-0.1282794326543808,-0.1282794326543808
1789134882483994,-0.08898273855447769,-0.08898273855447769
1789134882491994,-0.07369844615459442,-0.07369844615459442
1789134882503994,-0.04658501222729683,-0.04658501222729683
1789134882513994,-0.0890733152627945,-0.0890733152627945
1789134882525994,-0.15088579058647156,-0.15088579058647156
1789134882533994,-0.06183560937643051,-0.06183560937643051
1789134882541994,-0.035391904413700104,-0.035391904413700104
1789134882553994,-0.021964065730571747,-0.021964065730571747
1789134882561994,-0.07645851373672485,-0.07645851373672485
1789134882573994,-0.05652126297354698,-0.05652126297354698
1789134882585994,-0.14810939133167267,-0.14810939133167267
1789134882587994,-0.10126208513975143,-0.10126208513975143
1789134882603994,-0.12473392486572266,-0.12473392486572266
1789134882614166,-0.11647115647792816,-0.11647115647792816
1789134882624166,-0.07731816172599792,-0.07731816172599792
1789134882634166,-0.12488425523042679,-0.12488425523042679
1789134882644166,-0.18446891009807587,-0.18446891009807587
1789134882656166,-0.14102742075920105,-0.14102742075920105
1789134882664166,-0.12468811124563217,-0.12468811124563217
1789134882674166,-0.1115361675620079,-0.1115361675620079
1789134882684166,-0.08632192760705948,-0.08632192760705948
1789134882694166,-0.10779641568660736,-0.10779641568660736
1789134882706166,-0.12123330682516098,-0.12123330682516098
1789134882708166,-0.1081976369023323,-0.1081976369023323
1789134882722166,-0.10416371375322342,-0.10416371375322342
1789134882734166,-0.09834467619657516,-0.09834467619657516
1789134882742166,-0.10424140840768814,-0.10424140840768814
1789134882754166,-0.10429220646619797,-0.10429220646619797
1789134882766166,-0.14664854109287262,-0.14664854109287262
1789134882774166,-0.08510736376047134,-0.08510736376047134
1789134882784166,-0.10171960294246674,-0.10171960294246674
1789134882790166,-0.13053779304027557,-0.13053779304027557
1789134882804166,-0.104500912129879,-0.104500912129879
1789134882814166,-0.1097421944141388,-0.1097421944141388
1789134882826166,-0.11884628981351852,-0.11884628981351852
1789134882836166,-0.0939779281616211,-0.0939779281616211
1789134882844166,-0.07654646039009094,-0.07654646039009094
1789134882854166,-0.07260482758283615,-0.07260482758283615
1789134882862166,-0.09225292503833771,-0.09225292503833771
1789134882874166,-0.0635393038392067,-0.0635393038392067
1789134882886166,-0.08975273370742798,-0.08975273370742798
1789134882888166,-0.071216881275177,-0.071216881275177
1789134882904166,-0.05823102593421936,-0.05823102593421936
1789134882914166,-0.05432853102684021,-0.05432853102684021
1789134882922166,-0.07880719006061554,-0.07880719006061554
1789134882934166,-0.0663977637887001,-0.0663977637887001
1789134882946166,-0.047544725239276886,-0.047544725239276886
1789134882948166,-0.040954843163490295,-0.040954843163490295
1789134882964166,-0.04487607628107071,-0.04487607628107071
1789134882974166,-0.04282907024025917,-0.04282907024025917
1789134882984166,-0.03431546688079834,-0.03431546688079834
1789134882994166,-0.04492749646306038,-0.04492749646306038
1789134883006166,-0.09360996633768082,-0.09360996633768082
1789134883014166,-0.07128605991601944,-0.07128605991601944
1789134883020166,-0.0924464538693428,-0.0924464538693428
1789134883034166,-0.08820917457342148,-0.08820917457342148
1789134883044166,-0.08166990429162979,-0.08166990429162979
1789134883054166,-0.07591797411441803,-0.07591797411441803
1789134883066166,-0.051391519606113434,-0.051391519606113434
1789134883068166,-0.04890158772468567,-0.04890158772468567
1789134883084166,-0.06331042945384979,-0.06331042945384979
